,name,manhat_pp,zero_pp,manhat_pp_sm,zero_pp_sm,dist,dist^2,dist_sm,dist_sm^2
62,TURNIER,0.19433507432703875,0.2623906705539355,0.13957070436518074,0.24756692339946562,0.421052631,0.235789473,0.0,0.0
180,TURKETT,0.4227936252845852,0.4227405247813412,0.2647498112840176,0.6468121731070554,0.368421052,0.191578947,0.0,0.0
77,TRASTER,0.0411276282308826,0.3586005830903791,0.12712081459423238,0.3173040849204418,0.368421052,0.191578947,0.0,0.0
70,TANASE,0.0007633587786258166,0.060252672497570325,0.1282751090100813,0.4341138304680768,0.315789473,0.151578947,0.0,0.0
61,TREMER,0.037190304004285406,0.1049562682215741,0.13003746923427953,0.30510008165427227,0.368421052,0.191578947,0.0,0.0
152,TUCKEY,0.3200883889112091,0.22448979591836732,0.1787445711030789,0.507337850065103,0.315789473,0.151578947,0.0,0.0
175,TRESTER,0.04068568367483586,0.3265306122448981,0.12734755099734518,0.36088981087105276,0.368421052,0.191578947,0.0,0.0
59,TARRANT,0.0018079550020086077,0.1098153547133138,0.22898729679296204,0.6258910246507619,0.315789473,0.151578947,0.0,0.0
117,TRUHLAR,0.37190304004285496,0.5539358600583092,0.18745331022265874,0.44283097565819857,0.368421052,0.191578947,0.0,0.0
91,TANSEY,0.0006830052229811595,0.05442176870748267,0.12753306259989308,0.468982411228566,0.315789473,0.151578947,0.0,0.0
27,TANSKY,0.010124548011249282,0.30806608357628773,0.1357677165129624,0.5422064308255901,0.315789473,0.151578947,0.0,0.0
140,TYACKE,0.12749430828980834,0.27599611273080665,0.09663507457563084,0.38181095932734627,0.473684210,0.284210526,0.0,0.0
83,TARGETT,0.0024507834471672136,0.1739552964042759,0.21402269418748307,0.624147595612738,0.315789473,0.151578947,0.0,0.0
93,TYGRETT,0.1196598366144365,0.1885325558794945,0.23693337710206874,0.6555293182971772,0.315789473,0.151578947,0.0,0.0
162,TABEEK,0.43680137753796,0.5686822649493796,0.10521178996681575,0.6558934522101812,0.157894736,0.056842105,0.142857142,0.020408163
66,TRAINOR,0.541489219231284,0.39941690962099113,0.2022427074257306,0.2963829364641505,0.473684210,0.284210526,0.142857142,0.020408163
65,TUSSEY,0.09069237980447308,0.011661807580174786,0.11240356079214951,0.2963829364641505,0.421052631,0.235789473,0.142857142,0.020408163
69,TRUNDY,0.038998259006294014,0.21865889212827966,0.09178085430897835,0.3451989495288332,0.473684210,0.284210526,0.142857142,0.020408163
105,TREIDER,0.5670818267041646,0.6793002915451896,0.20271679263224116,0.42190982720190723,0.526315789,0.336842105,0.142857142,0.020408163
155,TACKES,0.25735904647113966,0.21768707482993171,0.10409676347808786,0.4184229691258572,0.526315789,0.336842105,0.142857142,0.020408163
119,TARNOFF,0.46933172626222047,0.6112730806608357,0.25043449928745287,0.8333590801756666,0.157894736,0.056842105,0.142857142,0.020408163
52,TUSKEY,0.3392928887103253,0.2099125364431487,0.15355621795721622,0.4184229691258572,0.421052631,0.235789473,0.142857142,0.020408163
157,TASSLER,0.014182402571313684,0.3343051506316811,0.1475477032747132,0.36088981087105276,0.263157894,0.115789473,0.142857142,0.020408163
103,TRUSTER,0.03944020356234075,0.2507288629737607,0.09312066032737512,0.36088981087105276,0.210526315,0.084210526,0.142857142,0.020408163
130,TABACK,0.43582429355832336,0.4480077745383867,0.18562911279761063,0.6642464634872989,0.210526315,0.084210526,0.142857142,0.020408163
51,TUPPER,0.0909334404714075,0.02915451895043722,0.11881401728017074,0.12727031977578282,0.473684210,0.284210526,0.142857142,0.020408163
198,TURVILLE,0.2388093264371672,0.7653368761609525,0.04765916352466215,0.5794253304791122,0.210526315,0.084210526,0.142857142,0.020408163
4,TRAVICK,0.20978974152939608,0.5043731778425657,0.1198137186938975,0.6102001633085423,0.157894736,0.056842105,0.142857142,0.020408163
6,TREZISE,0.20740591937859904,0.3673469387755101,0.12909960502140264,0.5683578663959574,0.263157894,0.115789473,0.142857142,0.020408163
97,TUNNER,0.09101379402705216,0.034985422740524866,0.10657025151205189,0.08542802286319578,0.473684210,0.284210526,0.142857142,0.020408163
191,TRAINER,0.541489219231284,0.39941690962099113,0.19034935246242426,0.2737183589698331,0.526315789,0.336842105,0.142857142,0.020408163
11,TASCHE,0.011852149457613231,0.2934888241010691,0.1429717504118809,0.44631783373424855,0.315789473,0.151578947,0.142857142,0.020408163
187,TREIBER,0.7528592473550287,0.5597667638483963,0.2329036528467376,0.44457440469622467,0.526315789,0.336842105,0.142857142,0.020408163
189,TURMER,0.0910539708048747,0.03790087463556818,0.15901850403221973,0.275461788007857,0.263157894,0.115789473,0.142857142,0.020408163
76,TREVETT,0.03964108745145307,0.28279883381924176,0.12354456314512684,0.4968772758369552,0.473684210,0.284210526,0.142857142,0.020408163
75,TURCOTT,0.09278157225123866,0.13702623906705513,0.269047496743028,0.5805618696621271,0.315789473,0.151578947,0.142857142,0.020408163
15,TASSOS,0.0003214142225790782,0.02818270165208928,0.06039847487806644,0.26674464281773524,0.526315789,0.336842105,0.142857142,0.020408163
102,TAUBER,0.22987813044060532,0.25267249757045657,0.10979609215634496,0.25279721051353954,0.578947368,0.393684210,0.285714285,0.081632653
104,TAWEEL,0.019927681799919484,0.1652089407191444,0.21259013236781235,0.5352327146734922,0.578947368,0.393684210,0.285714285,0.081632653
111,TRUHAN,0.3539038435784117,0.24489795918367357,0.1260592759796558,0.5003641339130052,0.631578947,0.454736842,0.285714285,0.081632653
112,TRAFFAS,1.0,1.0,0.23062598261546224,0.657272747335201,0.578947368,0.393684210,0.285714285,0.081632653
98,TRELOAR,0.36897013526181843,0.3790087463556849,0.14782597067853503,0.30335665261624617,0.578947368,0.393684210,0.285714285,0.081632653
